
0it [00:00, ?it/s]
10528635it [00:21, 309521.62it/s]
10589411it [00:21, 365390.36it/s]
10651176it [00:21, 418644.57it/s]
10707904it [00:21, 397548.59it/s]
10765637it [00:22, 438009.33it/s]
10824992it [00:22, 475836.05it/s]
10885208it [00:22, 508412.60it/s]
10945916it [00:22, 534973.57it/s]
11008063it [00:22, 558997.00it/s]
11069796it [00:22, 575563.95it/s]
11129593it [00:22, 580700.67it/s]
11189248it [00:22, 581939.44it/s]
11248554it [00:22, 579991.24it/s]
11307331it [00:22, 575857.65it/s]
11365463it [00:23, 574463.82it/s]
11425380it [00:23, 581717.99it/s]
11485686it [00:23, 588024.25it/s]
11546229it [00:23, 593176.78it/s]
11605697it [00:23, 590198.33it/s]
11667159it [00:23, 597452.37it/s]
11726986it [00:23, 597668.66it/s]
11788066it [00:23, 601585.83it/s]
11849568it [00:23, 605599.23it/s]
11910159it [00:23, 597830.03it/s]
11969985it [00:24, 585546.00it/s]
12028615it [00:24, 569134.66it/s]
12091775it [00:24, 587205.79it/s]
12152876it [00:24, 594164.17it/s]
12214406it [00:24, 600387.12it/s]
12274543it [00:24, 598785.34it/s]
12334490it [00:24, 589863.83it/s]
12393546it [00:24, 586160.41it/s]
12454867it [00:24, 594128.64it/s]
12515874it [00:24, 598847.56it/s]
12576097it [00:25, 599848.55it/s]
12636453it [00:25, 600946.83it/s]
12696569it [00:25, 597880.15it/s]
12756374it [00:25, 593975.76it/s]
12815787it [00:25, 585578.01it/s]
12875891it [00:25, 590134.95it/s]
12934934it [00:25, 584236.52it/s]
12993610it [00:25, 584978.49it/s]
13052694it [00:25, 586713.28it/s]
13111382it [00:27, 144991.06it/s]
13169955it [00:27, 186907.75it/s]
13229617it [00:27, 235914.78it/s]
13290504it [00:27, 290342.60it/s]
13351749it [00:27, 345909.69it/s]
13410590it [00:27, 393853.81it/s]
13471357it [00:27, 440943.24it/s]
13530332it [00:27, 476554.90it/s]
13588709it [00:27, 495250.36it/s]
13647109it [00:27, 518606.60it/s]
13705678it [00:28, 536934.88it/s]
13766701it [00:28, 557520.46it/s]
13826832it [00:28, 570057.06it/s]
13889200it [00:28, 585613.07it/s]
13949946it [00:28, 592012.12it/s]
14010283it [00:28, 594875.06it/s]
14071554it [00:28, 600154.95it/s]
14132135it [00:28, 593579.67it/s]
14192698it [00:28, 597134.80it/s]
14253901it [00:28, 601545.95it/s]
14314360it [00:29, 602446.78it/s]
14374753it [00:29, 601143.39it/s]
14434971it [00:29, 601430.93it/s]
14495187it [00:29, 599486.86it/s]
14555188it [00:29, 593630.65it/s]
14615185it [00:29, 595500.71it/s]
14676475it [00:29, 600675.06it/s]
14736571it [00:29, 535313.81it/s]
14796320it [00:29, 552423.74it/s]
14856071it [00:29, 565145.20it/s]
14916201it [00:30, 575529.83it/s]
14977484it [00:30, 586368.87it/s]
15036597it [00:30, 587271.72it/s]
15097127it [00:30, 592591.26it/s]
15157524it [00:30, 595963.25it/s]
15218323it [00:30, 599537.88it/s]
15281175it [00:30, 608180.76it/s]
15342085it [00:30, 607461.84it/s]
15402896it [00:30, 606494.95it/s]
15463591it [00:30, 597160.85it/s]
15523695it [00:31, 598304.11it/s]
15583570it [00:31, 598229.12it/s]
15643424it [00:31, 593432.00it/s]
15705591it [00:31, 601808.22it/s]
15766404it [00:31, 603686.44it/s]
15827167it [00:31, 604852.70it/s]
15887668it [00:31, 601350.81it/s]
15947912it [00:31, 601669.56it/s]
16008090it [00:31, 599302.02it/s]
16071331it [00:31, 609168.04it/s]
16132260it [00:32, 606650.77it/s]
16193747it [00:32, 609096.89it/s]
16254665it [00:32, 601589.75it/s]
16314848it [00:32, 599696.51it/s]
16374847it [00:32, 599777.86it/s]
16434837it [00:32, 598000.98it/s]
16495615it [00:32, 600906.33it/s]
16555714it [00:32, 600125.62it/s]
16615732it [00:34, 123887.38it/s]
16674989it [00:34, 161823.18it/s]
16734637it [00:34, 206873.27it/s]
16794037it [00:34, 256800.12it/s]
16853553it [00:34, 309439.71it/s]
16911908it [00:34, 359280.78it/s]
16970675it [00:34, 406372.63it/s]
17030989it [00:34, 451142.00it/s]
17089102it [00:34, 483027.40it/s]
17149503it [00:35, 514419.89it/s]
17208286it [00:35, 527844.84it/s]
17268115it [00:35, 547301.73it/s]
17326679it [00:35, 552206.98it/s]
17387210it [00:35, 567372.68it/s]
17445913it [00:35, 573021.51it/s]
17505131it [00:35, 578625.51it/s]
17565887it [00:35, 587154.41it/s]
17626365it [00:35, 592373.75it/s]
17687067it [00:35, 596726.30it/s]
17747095it [00:36, 593573.33it/s]
17806705it [00:36, 593532.91it/s]
17868340it [00:36, 600321.92it/s]
17930743it [00:36, 607392.47it/s]
17991576it [00:36, 599835.66it/s]
18051645it [00:36, 596879.57it/s]
18111393it [00:36, 596522.71it/s]
18171087it [00:36, 594552.77it/s]
18230572it [00:36, 594122.36it/s]
18291574it [00:37, 598854.15it/s]
18352479it [00:37, 601894.31it/s]
18412682it [00:37, 601233.42it/s]
18472815it [00:37, 600299.44it/s]
18532852it [00:37, 592737.62it/s]
18593871it [00:37, 597910.67it/s]
18654743it [00:37, 601119.61it/s]
18715278it [00:37, 602375.88it/s]
18775530it [00:37, 601980.36it/s]
18836721it [00:37, 604943.76it/s]
18897223it [00:38, 603842.05it/s]
18957613it [00:38, 591214.77it/s]
19017131it [00:38, 592370.82it/s]
19076574it [00:38, 592976.00it/s]
19136996it [00:38, 596317.14it/s]
19197171it [00:38, 597932.14it/s]
19259385it [00:38, 605159.34it/s]
19323178it [00:38, 614958.06it/s]
19386783it [00:38, 621268.16it/s]
19450502it [00:38, 626034.09it/s]
19514180it [00:39, 629245.38it/s]
19577827it [00:39, 631406.44it/s]
19642225it [00:39, 635171.35it/s]
19706328it [00:39, 636923.49it/s]
19770023it [00:39, 632106.50it/s]
19833244it [00:39, 623813.52it/s]
19895653it [00:39, 617898.19it/s]
19957468it [00:39, 612854.44it/s]
20018773it [00:39, 606552.60it/s]
20079447it [00:39, 600110.97it/s]
20139475it [00:40, 595485.83it/s]
20201480it [00:40, 602700.18it/s]
20261773it [00:40, 600412.84it/s]
20321829it [00:40, 599724.37it/s]
20381811it [00:40, 598254.26it/s]
20441723it [00:40, 598506.82it/s]
20501820it [00:40, 599235.93it/s]
20561748it [00:40, 596038.71it/s]
20621357it [00:40, 594887.27it/s]
20680850it [00:40, 590702.13it/s]
20739927it [00:41, 589176.76it/s]
20798916it [00:41, 589383.69it/s]
20857858it [00:41, 577864.84it/s]
20915691it [00:41, 576908.20it/s]
20984544it [00:41, 609920.90it/s]
21045605it [00:41, 606612.10it/s]
21106497it [00:41, 607287.23it/s]
21167261it [00:43, 104177.74it/s]
21226929it [00:43, 137660.64it/s]
21285503it [00:43, 177324.88it/s]
21345485it [00:43, 224755.50it/s]
21405494it [00:43, 276630.10it/s]
21465301it [00:43, 329630.61it/s]
21523516it [00:43, 377770.06it/s]
21583046it [00:44, 424330.05it/s]
21642155it [00:44, 463376.89it/s]
21703167it [00:44, 500158.52it/s]
21762312it [00:44, 521962.40it/s]
21821170it [00:44, 534698.19it/s]
21879393it [00:421.88009548187256
4, 543130.56it/s]
21937079it [00:44, 539214.84it/s]
21993362it [00:44, 525782.73it/s]
22013022it [00:44, 490755.05it/s]

JOB STATISTICS
==============
Job ID: 9724542
Cluster: snellius
User/Group: jzhao/jzhao
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 18
CPU Utilized: 00:01:31
CPU Efficiency: 4.91% of 00:30:54 core-walltime
Job Wall-clock time: 00:01:43
Memory Utilized: 8.94 GB
Memory Efficiency: 7.45% of 120.00 GB
